noise_type,magnitude,flip_rate,confidence_drop,num_samples,group_0_flip,group_1_flip
gaussian_blur,0.4,0.38600000739097595,0.13912375271320343,500,0.3660714328289032,0.557692289352417
gaussian_blur,0.5,0.5019999742507935,0.18028081953525543,500,0.4888392984867096,0.6153846383094788
gaussian_blur,0.6,0.5899999737739563,0.2004930078983307,500,0.5803571343421936,0.6730769276618958
gaussian_blur,0.7,0.6539999842643738,0.20716457068920135,500,0.6495535969734192,0.692307710647583
gaussian_blur,0.8,0.7139999866485596,0.19275757670402527,500,0.7098214030265808,0.75
gaussian_blur,0.9,0.7459999918937683,0.17508743703365326,500,0.7433035969734192,0.7692307829856873
gaussian_blur,1.0,0.7620000243186951,0.1579875648021698,500,0.7611607313156128,0.7692307829856873
color_jitter,0.05,0.004000000189989805,0.0023197359405457973,500,0.0022321429569274187,0.01923076994717121
color_jitter,0.1,0.009999999776482582,0.013509790413081646,500,0.0022321429569274187,0.07692307978868484
color_jitter,0.2,0.057999998331069946,0.040435727685689926,500,0.0401785708963871,0.21153846383094788
color_jitter,0.3,0.15399999916553497,0.0680200383067131,500,0.1227678582072258,0.42307692766189575
color_jitter,0.4,0.23800000548362732,0.1287984997034073,500,0.2276785671710968,0.32692307233810425
color_jitter,0.5,0.34200000762939453,0.13563139736652374,500,0.3169642984867096,0.557692289352417
color_jitter,0.6,0.41999998688697815,0.18154998123645782,500,0.4084821343421936,0.5192307829856873
color_jitter,0.7,0.5320000052452087,0.18678170442581177,500,0.5223214030265808,0.6153846383094788
color_jitter,0.8,0.5139999985694885,0.19646476209163666,500,0.484375,0.7692307829856873
color_jitter,0.9,0.6179999709129333,0.23057687282562256,500,0.6116071343421936,0.6730769276618958
color_jitter,1.0,0.6660000085830688,0.23228925466537476,500,0.6473214030265808,0.8269230723381042
patch_shuffle,0.05,0.0,0.0,500,0.0,0.0
patch_shuffle,0.1,0.164000004529953,0.16894933581352234,500,0.1629464328289032,0.17307692766189575
patch_shuffle,0.2,0.1979999989271164,0.19539138674736023,500,0.1785714328289032,0.36538460850715637
patch_shuffle,0.3,0.27000001072883606,0.2235601395368576,500,0.2678571343421936,0.2884615361690521
patch_shuffle,0.4,0.2939999997615814,0.23852704465389252,500,0.2879464328289032,0.3461538553237915
patch_shuffle,0.5,0.28999999165534973,0.23167483508586884,500,0.2879464328289032,0.3076923191547394
patch_shuffle,0.6,0.26600000262260437,0.23427017033100128,500,0.2589285671710968,0.32692307233810425
patch_shuffle,0.7,0.3240000009536743,0.26208606362342834,500,0.3191964328289032,0.36538460850715637
patch_shuffle,0.8,0.33799999952316284,0.26680800318717957,500,0.3325892984867096,0.38461539149284363
patch_shuffle,0.9,0.32199999690055847,0.27188917994499207,500,0.3191964328289032,0.3461538553237915
patch_shuffle,1.0,0.3700000047683716,0.26961109042167664,500,0.3638392984867096,0.42307692766189575
